"dataset","classifier","method","backend","samples","variables","truth_classes","M","Tcycle","landmarks_requested","landmarks_effective","splitting","ncomp","knn_k","graph_k","embedding_k","perplexity","seed","workers","load_seconds","classic_graph_seconds","kodama_wall_seconds","kodama_reported_seconds","classic_embedding_seconds","kodama_embedding_seconds","best_cv_accuracy","median_cv_accuracy","selected_run","selected_ari","median_run_ari","max_diagnostic_ari","selected_classes","median_classes","min_classes","max_classes","base_graph_truth_purity","kodama_graph_truth_purity","classic_truth_silhouette","kodama_truth_silhouette","classic_truth_neighbor_purity","kodama_truth_neighbor_purity","classic_truth_compactness","kodama_truth_compactness","kodama_label_silhouette"
"MetRef","knn","UMAP","cuda",873,375,22,100,100,100000,655,100,50,30,100,30,30,1234,4,0.186,0.00399999999999956,3.381,2.901258643,0.00900000000000034,0.00800000000000001,1,0.893129770992366,33,0.0494809925317168,0.0547272604310079,0.315128032015287,3,7,2,49,0.4245895379916,0.202932416953036,0.105443425752827,0.0157038704485364,0.590072546773578,0.575257731958763,0.481631894933124,0.551926748415685,0.523004629882438
"MetRef","knn","opentsne","cuda",873,375,22,100,100,100000,655,100,50,30,100,30,30,1234,4,0.186,0.00399999999999956,3.381,2.901258643,0.124,0.113,1,0.893129770992366,33,0.0494809925317168,0.0547272604310079,0.315128032015287,3,7,2,49,0.4245895379916,0.202932416953036,0.0669399932767357,0.0177611388029055,0.615502100038183,0.607636502481863,0.630507111721197,0.600447315826217,0.457506186878926
"MetRef","pls_lda","UMAP","cuda",873,375,22,100,100,100000,655,100,50,30,100,30,30,1234,4,0.186,0.00399999999999956,589.633,589.618065507,0.00900000000000034,0.00999999999999091,1,0.990076335877863,50,0.87893273008447,0.713681945633376,0.917014188207906,28,24,12,32,0.4245895379916,0.202932416953036,0.105443425752827,0.814754394552648,0.590072546773578,0.96594119893089,0.481631894933124,0.0424437756926816,0.717556815516793
"MetRef","pls_lda","opentsne","cuda",873,375,22,100,100,100000,655,100,50,30,100,30,30,1234,4,0.186,0.00399999999999956,589.633,589.618065507,0.124,0.123000000000047,1,0.990076335877863,50,0.87893273008447,0.713681945633376,0.917014188207906,28,24,12,32,0.4245895379916,0.202932416953036,0.0669399932767357,0.529916462088064,0.615502100038183,0.90393279877816,0.630507111721197,0.177964158292608,0.316259807280094
"PBMC3K_PCA50","knn","UMAP","cuda",2638,50,9,100,100,100000,1979,100,50,30,100,30,30,1234,4,0.0119999999999436,0.00499999999999545,2.9670000000001,2.955030798,0.0170000000000528,0.0220000000000482,1,0.970186963112683,10,0.373903593511428,0.425515511110356,0.511175025570715,3,6,3,23,0.737743239828153,0.668965125094769,0.409788810444182,0.387269159749586,0.830224917867071,0.795602729340409,0.120409207443233,0.244370234674303,0.854414200636904
"PBMC3K_PCA50","knn","opentsne","cuda",2638,50,9,100,100,100000,1979,100,50,30,100,30,30,1234,4,0.0119999999999436,0.00499999999999545,2.9670000000001,2.955030798,0.119000000000028,0.124000000000024,1,0.970186963112683,10,0.373903593511428,0.425515511110356,0.511175025570715,3,6,3,23,0.737743239828153,0.668965125094769,0.349073140910474,0.335850345695332,0.825852918877938,0.804523629011878,0.149543954701503,0.207979966231625,0.797272104945234
"PBMC3K_PCA50","pls_lda","UMAP","cuda",2638,50,9,100,100,100000,1979,100,50,30,100,30,30,1234,4,0.0119999999999436,0.00499999999999545,486.707,486.695299913,0.0170000000000528,0.0220000000001619,1,0.961849418898434,17,0.593793401094682,0.533277066117128,0.670850308565757,11,19,8,50,0.737743239828153,0.668965125094769,0.409788810444182,0.484316546555063,0.830224917867071,0.819585544604498,0.120409207443233,0.166818629783903,0.260684705587405
"PBMC3K_PCA50","pls_lda","opentsne","cuda",2638,50,9,100,100,100000,1979,100,50,30,100,30,30,1234,4,0.0119999999999436,0.00499999999999545,486.707,486.695299913,0.119000000000028,0.133000000000038,1,0.961849418898434,17,0.593793401094682,0.533277066117128,0.670850308565757,11,19,8,50,0.737743239828153,0.668965125094769,0.349073140910474,0.402255248755695,0.825852918877938,0.825221127116502,0.149543954701503,0.170971478644766,0.228675224390645
"OptDigits","knn","UMAP","cuda",5620,64,10,100,100,100000,4215,100,50,30,100,30,30,1234,4,0.00999999999999091,0.0150000000001,3.91999999999985,3.894132063,0.0309999999999491,0.0430000000001201,1,0.993594306049822,36,0.602888974051411,0.649557004738345,0.769722540274719,28,28,20,37,0.952283511269276,0.90032384341637,0.700395028333829,0.600161984158622,0.974466666666667,0.948977777777778,0.132456015285414,0.226698437804942,0.572674505649134
"OptDigits","knn","opentsne","cuda",5620,64,10,100,100,100000,4215,100,50,30,100,30,30,1234,4,0.00999999999999091,0.0150000000001,3.91999999999985,3.894132063,0.130000000000109,0.144999999999982,1,0.993594306049822,36,0.602888974051411,0.649557004738345,0.769722540274719,28,28,20,37,0.952283511269276,0.90032384341637,0.563355890184141,0.446444498524165,0.971511111111111,0.959288888888889,0.227717096190464,0.274842481244336,0.488364575406981
"OptDigits","pls_lda","UMAP","cuda",5620,64,10,100,100,100000,4215,100,50,30,100,30,30,1234,4,0.00999999999999091,0.0150000000001,496.673,496.645991377,0.0309999999999491,0.0450000000000728,0.976275207591934,0.964768683274021,59,0.350325071943656,0.25823782588753,0.354783591246552,47,70,47,84,0.952283511269276,0.90032384341637,0.700395028333829,0.547621939732107,0.974466666666667,0.944088888888889,0.132456015285414,0.221147746762065,0.264781947030546
"OptDigits","pls_lda","opentsne","cuda",5620,64,10,100,100,100000,4215,100,50,30,100,30,30,1234,4,0.00999999999999091,0.0150000000001,496.673,496.645991377,0.130000000000109,0.156999999999925,0.976275207591934,0.964768683274021,59,0.350325071943656,0.25823782588753,0.354783591246552,47,70,47,84,0.952283511269276,0.90032384341637,0.563355890184141,0.469522525521061,0.971511111111111,0.960066666666667,0.227717096190464,0.285193995892908,0.26191554647619
"USPS","knn","UMAP","cuda",11000,256,10,100,100,100000,8250,100,50,30,100,30,30,1234,4,0.071999999999889,0.0899999999999181,19.1410000000001,19.001390975,0.0779999999999745,0.0950000000000273,0.99951177834737,0.992800925167718,78,0.299895170987507,0.311869721381949,0.3770998731227,34,34,25,49,0.690733333333333,0.625424545454545,0.15250942046012,0.0713878346380552,0.6982,0.651466666666667,0.26186171197733,0.591848643241907,0.458795627532939
"USPS","knn","opentsne","cuda",11000,256,10,100,100,100000,8250,100,50,30,100,30,30,1234,4,0.071999999999889,0.0899999999999181,19.1410000000001,19.001390975,0.159000000000106,0.190000000000055,0.99951177834737,0.992800925167718,78,0.299895170987507,0.311869721381949,0.3770998731227,34,34,25,49,0.690733333333333,0.625424545454545,0.211581220133793,0.0901934737341634,0.711377777777778,0.671866666666667,0.36691339885666,0.608221546866883,0.367674669787672
"USPS","pls_lda","UMAP","cuda",11000,256,10,100,100,100000,8250,100,50,30,100,30,30,1234,4,0.071999999999889,0.0899999999999181,663.782,663.642602794,0.0779999999999745,0.103999999999814,0.960458872345619,0.951730039455747,3,0.109109722082204,0.113271716463266,0.139345868798142,70,71,58,87,0.690733333333333,0.625424545454545,0.15250942046012,0.0817766431361931,0.6982,0.598355555555556,0.26186171197733,0.621352584209972,0.208540612634823
"USPS","pls_lda","opentsne","cuda",11000,256,10,100,100,100000,8250,100,50,30,100,30,30,1234,4,0.071999999999889,0.0899999999999181,663.782,663.642602794,0.159000000000106,0.195000000000164,0.960458872345619,0.951730039455747,3,0.109109722082204,0.113271716463266,0.139345868798142,70,71,58,87,0.690733333333333,0.625424545454545,0.211581220133793,0.0807184191576046,0.711377777777778,0.643377777777778,0.36691339885666,0.601597136658322,0.204033616892821
"Macosko2015_retina","knn","UMAP","cuda",44808,50,12,100,100,100000,33606,300,50,30,100,30,30,1234,4,0.621,0.689999999999998,97.295,96.363636022,0.268000000000001,0.317999999999998,0.992709635184193,0.978054514074868,21,0.171149476534108,0.164708503620477,0.254111565014016,73,83,67,123,0.972786853538059,0.967278164613462,0.468574079422403,0.182694980976132,0.964666666666667,0.953155555555556,0.236098156918001,0.426265144574622,0.35515176078205
"Macosko2015_retina","knn","opentsne","cuda",44808,50,12,100,100,100000,33606,300,50,30,100,30,30,1234,4,0.621,0.689999999999998,97.295,96.363636022,0.794000000000011,0.875999999999991,0.992709635184193,0.978054514074868,21,0.171149476534108,0.164708503620477,0.254111565014016,73,83,67,123,0.972786853538059,0.967278164613462,0.170655270087106,-0.0218473509612098,0.961644444444444,0.959355555555556,0.23428209776538,0.333447091985109,0.249727462376976
"Macosko2015_retina","pls_lda","UMAP","cuda",44808,50,12,100,100,100000,33606,300,50,30,100,30,30,1234,4,0.649,0.689999999999998,708.579,707.639257684,0.268000000000001,0.334999999999923,0.945932273998691,0.904734273641612,29,0.410019956787654,0.394646864047082,0.794340146773746,30,68.5,27,300,0.972786853538059,0.967278164613462,0.468574079422403,0.176038594586231,0.964666666666667,0.952733333333333,0.236098156918001,0.224149152655677,0.261494200853266
"Macosko2015_retina","pls_lda","opentsne","cuda",44808,50,12,100,100,100000,33606,300,50,30,100,30,30,1234,4,0.649,0.689999999999998,708.579,707.639257684,0.794000000000011,0.877000000000066,0.945932273998691,0.904734273641612,29,0.410019956787654,0.394646864047082,0.794340146773746,30,68.5,27,300,0.972786853538059,0.967278164613462,0.170655270087106,0.0597630717690973,0.961644444444444,0.958155555555556,0.23428209776538,0.27928752484161,0.0153433907719054
